Version,Build,Feature,Category,Description
v1.6,17,Supabase Ingredient Lookup,Backend,Ingredient detail popup now checks Supabase vitamins & minerals table first — instant results with no Claude API cost
v1.6,17,Supabase Ingredients Override,Backend,ingredients table (78 entries) checked before Claude for detail popups — faster and cheaper
v1.6,17,Barcode Not Found Auto-Switch,UX,When barcode lookup fails app auto-switches to Smart Scan after 2.5 seconds instead of showing dead-end error screen
v1.6,17,Claude Barcode Prompt Upgrade,Backend,Claude now tries harder on unknown barcodes — lists all major US brands and returns best-guess match instead of giving up
v1.6,17,UPC Item DB Always Runs,Backend,UPC Item DB now runs whenever ingredients are missing (not just when name is missing) — Claude always gets best possible name + brand signal
v1.5,14,Torch / Flashlight,Barcode Scanner,Tap the 💡 button on the camera to toggle flashlight — fixes scanning in dark store aisles
v1.5,14,Animated Scan Line,Barcode Scanner,Green line sweeps the scan frame while camera is active — confirms scanner is looking and guides barcode alignment
v1.5,14,Wider Scan Frame,Barcode Scanner,Scan target area widened for easier barcode capture on large bags
v1.5,14,More Barcode Formats,Barcode Scanner,"Added code128 and itf14 barcode support — covers club/bulk store pet food bags that don't use standard UPC/EAN"
v1.5,14,Hold Steady Tip,Barcode Scanner,Camera subtitle now shows distance guidance (6–10 inches) to reduce blur-caused scan failures
v1.5,14,Scanner Lock Fix,Reliability,Scanner no longer permanently locks after a not-found result — immediately re-arms for another scan attempt
v1.0,1,Barcode Scanner,Core,Point camera at barcode — auto-detects and triggers 6-step lookup chain
v1.0,1,6-Step Lookup Chain,Core,"Step 1: Google Sheet community database, Step 2: Open Pet Food Facts API, Step 3: Open Food Facts API, Step 4: Supabase cache, Step 5: UPC Item DB, Step 6: Claude AI fallback"
v1.0,1,Ingredient Analysis,Scoring,Detects 60+ harmful ingredients with severity levels (toxic / severe / moderate / mild)
v1.0,1,Score 0-100,Scoring,Composite score based on processing method + ingredient penalties + bonuses
v1.0,1,Supabase Database,Backend,Caches scanned products so repeat scans are instant
v1.0,1,Google Sheet Sync,Backend,Saves all scans to Google Sheet for community database building
v1.0,1,Privacy Policy,Legal,Privacy policy page added for App Store submission
v1.1,10,Smart Scan,Core,"Cal AI-style — point at ANY part of bag (front, ingredients, or GA panel) and Claude Vision reads it"
v1.1,10,Front-of-Bag Recognition,Core,Identifies brand and product name from front of bag — looks up cached ingredients automatically
v1.1,10,Guaranteed Analysis Panel,Core,Scans the GA panel to extract exact protein / fat / fiber / moisture / omega percentages
v1.1,10,GA Visual Bars,UI,Color-coded bar chart showing protein / fat / fiber / moisture / carb percentages
v1.1,10,Carb Estimation,Scoring,"Calculates estimated carb % from GA numbers (100 - protein - fat - fiber - moisture - 7% ash)"
